Identifier ,Term,Also known as,See Also,Definition ,Notes/Additional Info,External Identifier,External Version Number ,License ,Source,Link 
fairsem:300,SDK,,,"Software Development Kits (SDK) are the next step in providing code for developers, after basic code samples. SDKs are more complete code libraries that usually include authentication and production ready objects, that developers can use after they are more familiar with an API and are ready for integration. Just like with code samples, SDKs should be provided in as many common programming languages as possible. Code samples will help developers understand an API, while SDKs will actually facilitate their integration of an API into their application. When providing SDKs, consider a software licensing that gives your developers as much flexibility as possible in their commercial products.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:301,Service-Oriented-Architecture,,,"Expresses a software architectural concept that defines the use of services to support the requirements of software users. In a SOA environment, nodes on a network make resources available to other participants in the network as independent services that the participants access in a standardized way. Most definitions of SOA identify the use of Web services (using SOAP and WSDL) in its implementation. However, one can implement SOA using any service-based technology with loose coupling among interacting software agents.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:302,SOAP,,,"SOAP (Simple Object Access Protocol) is a message-based protocol based on XML for accessing services on the Web. It employs XML syntax to send text commands across the Internet using HTTP. SOAP is similar in purpose to the DCOM and CORBA distributed object systems, but is more lightweight and less programming-intensive. Because of its simple exchange mechanism, SOAP can also be used to implement a messaging system.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:303,Swagger,,,"A specification and complete framework implementation for describing, producing, consuming, and visualizing RESTful web services. The overarching goal of Swagger is to enable client and documentation systems to update at the same pace as the server. The documentation of methods, parameters and models are tightly integrated into the server code, allowing APIs to always stay in sync.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:304,Terms of Service,,,"Terms of Service provide a legal framework for developers to operate within. They set the stage for the business development relationships that will occur within an API ecosystem. Terms of Service should protect the API owner’s company, assets and brand, but should also provide assurances for developers who are building businesses on top of an API.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:305,TSV,,,A simple text format for a database table. Each record in the table is one line of the text file. Each field value of a record is separated from the next by a tab stop character. It is a form of the more general delimiter-separated values format.,,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:306,Unstructured Data,,,"Data that is more free-form, such as multimedia files, images, sound files, or unstructured text. Unstructured data does not necessarily follow any format or hierarchical sequence, nor does it follow any relational rules. Unstructured data refers to masses of (usually) computerized information which do not have a data structure which is easily readable by a machine. Examples of unstructured data may include audio, video and unstructured text such as the body of an email or word processor document. Data mining techniques are used to find patterns in, or otherwise interpret, this information. Merrill Lynch estimates that more than 85 percent of all business information exists as unstructured data – commonly appearing in e-mails, memos, notes from call centers and support operations, news, user groups, chats, reports, letters, surveys, white papers, marketing material, research, presentations, and Web pages (“The Problem with Unstructured Data.”)",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:307,Web Service,,,"A Web service is a software system designed to support interoperable machine-to-machine interaction over a network. It has an interface described in a machine-processable format (specifically WSDL). Other systems interact with the Web service in a manner prescribed by its description using SOAP messages, typically conveyed using HTTP with an XML serialization in conjunction with other Web-related standards.",,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:308,WSDL,,,An XML-based language (Web Services Description Language) used to describe the services a business offers and to provide a way for individuals and other businesses to access those services electronically.,,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:309,XML,,,Extensible Markup Language (XML) is a flexible language for creating common information formats and sharing both the format and content of data over the Internet and elsewhere. XML is a formatting language recommended by the World Wide Web Consortium (W3C).,,,,CC BY 3.0 US,Project Open Data ,https://project-open-data.cio.gov/glossary/
fairsem:31,GO TRAIN,,,GO TRAIN is one of three GO FAIR pillars; it is about training the data stewards capable of providing FAIR data services,,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:310,Annotation,,,"An annotation is a form of metadata (e.g. A comment, description, explanation) attached to a piece of text, an image, or other data type.",,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:311,Big Data,,,"Big data is an evolving term that describes any voluminous amount of structured, semi-structured and unstructured data that has the potential to be mined for information.",http://searchcloudcomputing.techtarget.com/definition/big-data-Big-Data,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:312,Content Mining,,Data Mining; Text Mining,"Content mining refers to a wide range of computerised searching, analysis and integration techniques applied to digital content, such as databases, audio-visual material, and texts, including corresponding metadata. Text and data mining (TDM) is used synonymously.Content mining is often used in the context of the extraction and integration of useful data, information and knowledge from Web page content.",http://access.okfn.org/2014/03/27/what-is-content-mining/; https://en.wikipedia.org/wiki/Web_mining#Web_content_mining,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:313,Core Trust Seal ,CTS,,CoreTrustSeal offers to any interested data repository a core level certification based on the DSA-WDS Core Trustworthy Data Repositories Requirements catalogue and procedures. This universal catalogue of requirements reflects the core characteristics of trustworthy data repositories and is the culmination of a cooperative effort between DSA and WDS under the umbrella of the Research Data Alliance to merge their data repositories certifications.,https://www.coretrustseal.org/about/,,,,Core Trust Seal ,https://www.coretrustseal.org/about/
fairsem:314,Current Research Information System,CRIS,Research Information,A current research information system (CRIS) is a database or other information system to store and manage data about research conducted at an institution.,http://en.wikipedia.org/wiki/Current_research_information_system,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:315,Data Analysis,,,"Data analysis is a process of inspecting, cleaning, transforming, and modelling data with the goal of discovering useful information, suggesting conclusions, and supporting decision-making. Data analysis has multiple facets and approaches, encompassing diverse techniques under a variety of names, in different business, science, and social science domains.",http://en.wikipedia.org/wiki/Data_analysis,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:316,Data Archive,,,"A data archive is a professional institution for the acquisition, preparation, preservation, and dissemination of research data. The term is commonly used in the humanities and social sciences, and is less common in the natural and life science, where data centre seems to be the preferred term. The first data archives in the social sciences were founded in the early 1960s.",http://en.wikipedia.org/wiki/Data_archive; http://en.wikipedia.org/wiki/Scientific_data_archiving; http://mitpress.mit.edu/books/scholarship-digital-age; http://datasupport.researchdata.nl/en/start-de-cursus/i-definitions/data-jargon/,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:317,Data Archiving,,Data Archive; Data Centre; Data Repository,"Data archiving is the process of moving data that is no longer actively used to a separate data storage device or system for long-term retention (in a narrow sense). In a wider sense, the term is loosely used to encompass all activities performed by data archives, including data stewardship, data curation, and data management.",http://searchdatabackup.techtarget.com/definition/data-archiving; http://www.emc.com/corporate/glossary/data-archiving.htm; http://en.wikipedia.org/wiki/Scientific_data_archiving,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:318,Data Authenticity,,,Digital data can be assumed to be authentic if it is provable that it has not been corrupted after its creation.,,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:319,Data Availability Policy,DAP,,"A data availability policy (DAP) is a policy adopted by a scholarly journal to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available for review or for purposes of replication. Data availability policies exist in variations, but generally require authors to specify that data are deposited publicly in a data repository or archive along with digital object identifiers or accession numbers for the relevant data sets.",http://journals.plos.org/plosone/s/data-availability,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:32,Hourglass approach,,,the structure of the current internet can be compared to an hourglass,http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3353 ,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:320,Data Centre,,,"A data centre is a facility used to house computer systems and associated components, such as telecommunications and storage systems. This generally includes redundant or backup power supplies, redundant data communications connections, environmental controls (e.g. , air conditioning, fire suppression) and various security devices. Some data centres have similar functions as decribed under data archive.",http://en.wikipedia.org/wiki/Data_center.,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:321,Data Citation,,,"Data citation provides attribution to research data sources to allow for easier access to research data connected to (electronic) publications on the Internet. Data citations make allowances for increased acceptance and reward for research data to be considered legitimate, citable contributions to the scholarly record. Citing data also supports the reuse of data and ensures that researchers remain accountable for their data. Data citations provide an opportunity for researchers to track back to the individuals responsible for creating the data so that it can be verified and re-purposed for future study.",http://esciencelibrary.umassmed.edu/thesaurus/data-citation,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:322,Data Cleaning,,,"Data cleaning (or cleansing) is the process of detecting and correcting (or removing) corrupt or inaccurate records from a data set. Used mainly in databases, the term refers to identifying incomplete, incorrect, inaccurate, irrelevant, etc. Parts of the data and then replacing, modifying, or deleting them.",https://en.wikipedia.org/wiki/Data_cleansing,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:323,Data Cooking,,,Data cooking is a term for falsifying data or selectively deleting data in an attempt to prove a hypothesis.,https://en.wikipedia.org/wiki/Cooking_(science),,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:324,Data Curation,,,"Data curation (or digital curation) is the selection, preservation, maintenance, collection and archiving of digital assets. Digital curation is generally referred to the process of establishing and developing long term repositories of digital assets for current and future reference by researchers, scientists, historians, and scholars. Digital curation involves maintaining, preserving and adding value to digital research data throughout its lifecycle.",http://www.dcc.ac.uk/digital-curation/what-digital-curation; http://en.wikipedia.org/wiki/Digital_curation,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:325,Data Custodian,,Data Steward,"A data custodian is responsible for the safe custody, transport and storage of data, and for the implementation of business rules. Data custodians are responsible for the technical environment and database structure. Common job titles for data custodians are database administrator (DBA), data modeler, and ETL (= Extract, Transform, Load) developer.",http://en.wikipedia.org/wiki/Data_custodian,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:326,Data Description,,Metadata; Data Paper,"Data (set) description/documentation is the description of the data (set) that will be or has been generated or collected, its origin (in case it is collected), nature and scale and to whom it could be useful, and whether it underpins one or more scientific publications. The description may contain additional information about the data set, for instance on the existence of similar data and the possibilities for integration and reuse.",http://ec.europa.eu/research/participants/data/ref/h2020/grants_manual/hi/oa_pilot/h2020-hi-oa-data-mgt_en.pdf,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:327,Data Fabric,,,A data fabric is a real-time data sharing facility specifically optimised for working with operational data needed by real-time applications.,,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:328,Data Format,,,"Data format (or file format) is a standard way that information is encoded for storage in a computer file. The data format specifies how bits are used to encode information in a digital storage medium. Formats may be either proprietary or free and may be either unpublished or open. One popular method used by many operating systems, is to determine the format of a file based on the end of its name — the letters following the final period. This portion of the filename is known as the filename extension.",http://en.wikipedia.org/wiki/File_format,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:329,Data Governance,,,"Data governance is a control that ensures that a data entry (either by a person or by an automated process) meets precise standards, such as a business rule, a data definition and data integrity constraints in the data model. Through data governance, organizations are looking to exercise positive control over the processes and methods used by their data stewards and data custodians to handle data.",http://en.wikipedia.org/wiki/Data_governance,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:33,IFDS,,,Internet of FAIR Data & Services,https://www.go-fair.org/resources/internet-fair-data-services/ ,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:330,Data Harvesting,,Metadata Harvesting,Data harvesting (also called web scraping or web data extraction) is a computer software technique of extracting information from websites.,http://en.wikipedia.org/wiki/Web_scraping,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:331,Data Infrastructure,,Research Infrastructure; E-Infrastructure,Data infrastructure is a digital infrastructure promoting data sharing and use.,http://en.wikipedia.org/wiki/Data_infrastructure,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:332,Data Integrity,,Data Authenticity,"Data integrity refers to maintaining and assuring the accuracy and consistency of data over its entire life cycle. Data integrity is the opposite of data corruption, which is a form of data loss. The overall intent of any data integrity technique is the same:ensure data is recorded exactly as intended, and upon later retrieval, ensure the data is the same as it was when it was originally recorded. In short, data integrity aims to prevent unintentional changes to information. Data integrity is not to be confused with data security, the discipline of protecting data from unauthorized parties.",https://en.wikipedia.org/wiki/Data_integrity,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:333,Data Interoperability,,Fair Data,"Data interoperability is the ability of making the data systems of organizations work together. While the term was initially defined for information technology or systems engineering services to allow for information exchange, a more broad definition of interoperability takes into account social, political, and organizational factors that impact system-to-system performance. Data interoperability ensures that data can be used across systems and understood by different persons. It usually involves one or more forms of standardization, including the use of metadata standards.",http://en.wikipedia.org/wiki/Interoperability,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:334,Data Journal,,Data Paper; Data Publication,"A data journal is a scholarly journal, usually published online under an open access license, consisting of papers with descriptions of scientifically valuable data sets (data papers). Contrary to articles in “normal” scholarly journals, which focus on answering particular research questions, a data paper focuses on aspects of the data used in research:how the data was collected, managed, processed, analyzed, etc. The purpose is both to make the research data better visible, accessible, usable and referable by providing more extensive and attractive descriptions than in the usual cataloguing metadata and to give the data creator credit for the work on the data. Moreover, it provides an outlet for “negative” research results, which are usually not selected for publication in normal science journals.",,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:335,Data Library,,Data Repository,"A data library is a collection of data sets for secondary use in research. A data library is normally part of a larger institution (academic, corporate, scientific, medical, governmental, etc. ) established to serve the data users of that organization. The data library tends to house local data collections and provides access to them. A data library may also maintain subscriptions to licensed data resources for its users to access. Whether a data library is also considered a data archive may depend on the extent of unique holdings in the collection, whether long-term preservation services are offered, and whether it serves a broader community (as national data archives do).",http://en.wikipedia.org/wiki/Data_library,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:336,Data Literacy,,,"Data literacy is the ability to read, interpret, create and communicate data as information. Data literacy focuses on the ability to build knowledge from data, and to communicate that meaning to others. Data literacy includes.",,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:337,Data Management Plan,DMP,Research Data Management,"A (research) data management plan (DMP) is a formal document that outlines how to handle data both during research, and after the research is completed. The goal of a data management plan is to consider the many aspects of research data management, metadata generation, data preservation, and data analysis before the project begins; this ensures that data are well-managed in the present, and prepared for preservation in the future.",http://en.wikipedia.org/wiki/Data_management_plan; http://esciencelibrary.umassmed.edu/thesaurus/data-management-plan,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:338,Data Management Policy,,,"A (research) data management policy is a directive providing language that encourages or requires researchers to handle their research data in such a way that they fulfill institutional, grant or other types of funding expectations. The National Science Foundation in the USA is one example of a funding organisation that has a data management policy in place requiring researchers to submit a data management plan as a stipulation to receive funding.",http://esciencelibrary.umassmed.edu/thesaurus/data-management-policy; http://www2.warwick.ac.uk/services/ris/research_integrity/code_of_practice_and_policies/research_code_of_practice/datacollection_retention/research_data_mgt_policy/; http://policy.monash.edu.au/policy-bank/academic/research/research-data-management-policy.html ,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:339,Data Mining,,Content Mining; Text Mining.,"Data mining is the computational process of discovering patterns in large data sets involving methods at the intersection of artificial intelligence, machine learning, statistics, and database systems. The overall goal of data mining is to extract information from a data set and to transform it into an understandable structure for further use. The goal is the extraction of patterns and knowledge from large amounts of data, not the extraction of data itself. It is frequently applied to any form of large-scale data or information processing.",http://en.wikipedia.org/wiki/Data_mining,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:34,GO CHANGE,,,GO CHANGE is one of three GO FAIR pillars; it aims to instigate cultural change to make the FAIR principles a working standard in science and to reform reward systems to incorporate open science activities,https://www.go-fair.org/go-fair-initiative/ ,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:340,Data Officer,,,"A data officer is the member of the research team or institution who is responsible for drafting the data management plan and overseeing its execution. The data officer is accountable before its team, its institution or a third-party for the management of the data collected during the research activity.",http://www.eracaps.org/sites/default/files/content/Annex%20III%202014%2003%2031_ERA-CAPS%20Data%20Sharing%20Policy_final.pdf,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:341,Data Paper,,Data Journal,"A data paper (or data publication) takes data that has been used for a research study, or deposited in a repository, and expands on the ""why, when and how"" of its collection and processing, leaving an account of the analysis and conclusions to a conventional article, perhaps written at a different time and by different authors. Another form of data publication is the ""enhanced publication"", which integrates underlying datasets into an online article so that readers can interact with the data as they read through the article. Data publications are designed to provide more contextual information about the data, so that readers can understand it better for their own purposes. Data publications provide an opportunity for researchers using the data publication to offer attribution and credit to data creators, as a data publication can be cited within an academic research paper.",http://esciencelibrary.umassmed.edu/thesaurus/data-publication,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:342,Data Preservation,,,Data preservation consists of a series of managed activities necessary to ensure continued access to data for as long as necessary.,http://en.wikipedia.org/wiki/Digital_preservation ,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:343,Data Processing,,,Data processing is the collection and manipulation of items of data to produce meaningful information.,https://en.wikipedia.org/wiki/Data_processing,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:344,Data Protection,,,Data protection comprises measures to prevent the disclosure of data about individual persons that can be privacy sensitive or about individual companies that can harm the commercial interests of such companies. Data protection is usually required by national or international legislation. The EU's Data Protection Directive is currently under revision and will be superseded by a new General Data Protection Regulation (GDPR).,http://en.wikipedia.org/wiki/General_Data_Protection_Regulation; http://ec.europa.eu/justice/data-protection/,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:345,Data Provenance,,,"Data provenance is defined as the origins, custody, and ownership of research data.",,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:346,Data Quality,,,"Data quality is the state of completeness, validity, consistency, timeliness and accuracy that makes data appropriate for a specific use.","http://en.wikipedia.org/wiki/Data_quality; Data Quality:e-IRG report on Data Management, 2009, http://e-irg.eu/task-force-reports; ISO 8000 standard for Data Quality:http://en.wikipedia.org/wiki/ISO_8000",,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:347,Data Repository,,Institutional Repository; Digital Repository; Data Archive,"A data repository is a place (data storage system, archive) that holds data sets, makes data sets available to use, and organizes them in a logical manner. Data repositories may have specific requirements concerning subject or research domain; data re-use and access; file format and data structure; and the types of metadata that can be used.",https://wikis.uit.tufts.edu/confluence/display/UITKnowledgebase/Digital+Libraries+and+Repositories,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:348,Data Science,,,"Data science is the discipline dealing with extraction of meaning or knowledge from data. Data science employs techniques and theories drawn from many fields within the broad areas of mathematics, statistics, and information technology, including signal processing, probability models, machine learning, statistical learning, computer programming, data engineering, pattern recognition and learning, visualization, uncertainty modeling, data warehousing, and high performance computing. The discipline is not restricted only to so-called big data, although an important aspect of data science is its ability to easily cope with large amounts of data. The development of machine learning, a branch of artificial intelligence used to uncover patterns in data from which practical and usable predictive models can be developed, has enhanced the growth and importance of data science.",http://en.wikipedia.org/wiki/Data_science,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:349,Data Scientist,,,"A data scientist is a practitioner of data science. Data scientists investigate complex problems through expertise in disciplines within the fields of mathematics, statistics, and computer science. These areas represent great breadth and diversity of knowledge, and a data scientist will most likely be expert in only one or at most two of these areas and merely proficient in the other(s). Therefore a data scientist typically works as part of a team whose other members have knowledge and skills which complement his or hers. Data scientists use the ability to find and interpret rich data sources, manage large amounts of data despite hardware, software, and bandwidth constraints, merge data sources, ensure consistency of datasets, create visualizations to aid in understanding data, build mathematical models using the data, present and communicate the data insights/findings to specialists and scientists in their team and if required to a non-expert audience.",http://en.wikipedia.org/wiki/Data_science,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:35,GO FAIR,,,"short for a lightweight, international fast track approach of the Internet of FAIR data and services by Global Open FAIR Implementation Networks.",https://www.go-fair.org/implementation-networks/ ,,,,GO FAIR ,https://www.go-fair.org/resources/glossary/
fairsem:350,Data Seal Of Approval,,,"The Data Seal of Approval (DSA) is a certification standard for digital repositories based on on peer review of a set of 16 quality guidelines for the creation, storage and use of data. The basic principles of the DSA are that data a) can be found on the Internet, b) are accessible (have clear rights and licences), c) are in a usable format, d) are reliable, and e) are identified in a unique and persistent way so that they can be referred to. These principles are equivalent to the FAIR data principles. An archive holding a Data Seal of Approval complies with requirements ensuring that in the future, research data can still be processed in a high-quality and reliable manner.",,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:351,Data Set,,Fair Data; Data Sharing,"A data set (or dataset) is any organized collection of data. The terms database and data set are sometimes used interchangeably, although a database is actually a type of a data set. A research data set should meet the requirements of being assessable, discoverable, intelligible, interoperable to specific quality standards, and useable beyond the original purpose for which it was collected.",,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:352,Data Sharing,,Secondary Data; Data Availability Policy,"Data sharing is the re-use of data by someone else than who collected the data. The general concept of data sharing is grounded in the assumption that data are a valuable long-term resource and that sharing them and making them publicly available is essential if their potential value is to be realized. Data sharing requires the systematic collection, curation and dissemination of data. The re-use of research data is increasingly promoted or regulated in data policies by research funding and performing organisations, by scholarly journals, and is sometimes stipulated in codes of conduct for researchers, because transparency and openness are considered to be an important part of scientific discovery. A European Directive on the re-use of public sector information in general provides a common legal framework for a European market for government-held data (public sector information).",http://ec.europa.eu/digital-agenda/en/european-legislation-reuse-public-sector-information;,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:353,Data Standard,,Data Custodian,"Data standards are documented agreements on representation, format, definition, structuring, tagging, transmission, manipulation, use, and management of data. Data standards provide consistent meaning to data shared among different information systems, programs, and agencies throughout the product’s life cycle. A data standard depicts the required content and format in which particular types of data are to be presented and exchanged.",http://ofmpub.epa.gov/sor_internet/registry/datastds/home/whatisadatastandard/#a2; http://www.fda.gov/MedicalDevices/DeviceRegulationandGuidance/DataStandardsMedicalDevices/default.htm; http://www.isb.nhs.uk/setting/types/data,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:354,Data Standardization,,,"Standardization of data is meant to make data consistent and clear. Consistent is ensuring that the data is reliable so that related data can be identified using common terminology and format. Clear is to ensure that the data can be easily understood by those who are not involved with the data maintenance process. Data can be standardized globally or at a very detailed level. Standardization controls how the terms, phrases, or specific attributes within a data set appear. Statistical standardization and normalization of numerical data are used to make variables comparable by measuring them on the same scale.",https://docs.oracle.com/cd/E35636_01/doc.11116/e29134/stan_data.htm; http://www.dataminingblog.com/standardization-vs-normalization/ ,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:355,Data Steward,,,"A data steward is a person responsible for the management of data objects including metadata. Data stewards have a specialist role that incorporates processes, policies, guidelines and responsibilities for administering an organization's data in compliance with policies and/or regulatory obligations. A data steward is commonly responsible for data content, context, and associated business rules.",http://en.wikipedia.org/wiki/Data_steward,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:356,Data Stewardship,,,Data stewardship is the management and oversight of an organization's data assets to provide professional users with high quality data that is easily accessible in a consistent manner.,http://searchdatamanagement.techtarget.com/definition/data-stewardship,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:357,Data Storage,,,"Data storage comprises memory, components, devices and media that retain digital computer data used for computing for some interval of time. A data storage device records (stores) or retrieves (reads) information (data) from any medium; also the medium itself is part of the storage device.",http://en.wikipedia.org/wiki/Data_storage,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:358,Data Store,,,"A data store is a repository of a set of data objects, such as databases or text files.",http://en.wikipedia.org/wiki/Data_store,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
fairsem:359,Data Type,,Data Format,"Data type (or simply type) in computer science and computer programming is a classification identifying one of various types of data, that determines the possible values for that type; the operations that can be done on values of that type; the meaning of the data; and the way values of that type can be stored. Common data types include:integers, booleans, characters, floating-point numbers, alphanumeric strings.",http://en.wikipedia.org/wiki/Data_type,,Draft Version 0.9 10 October 2015,CC BY-SA 3.0,Science Europe Data Glossary,http://sedataglossary.shoutwiki.com/wiki/Main_Page
